Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Mass code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
259,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Indian mealmoth,Plodia interpunctella,1st/2nd instar,2.0,Mean,N,24,30.0,,1,2.29E+01,,4.96E-01,Alternate species length,3,1.36E-01,Original length,1,m^2 per pred per day,259,200,0.79,112.34,3.93E-03,3.42E-03,4.40E-03,3.08E-02,2.87E-02,3.32E-02,Arena contains 0.1g flour
260,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Indian mealmoth,Plodia interpunctella,Egg,2.0,Mean,N,24,30.0,,1,,9.46E+02,2.11E-01,Alternate species length,2,6.01E-04,Alternate species length,2,m^3 per pred per day,260,200,0.78,32.58,5.00E-04,4.17E-04,6.24E-04,4.70E-02,4.47E-02,4.90E-02,Arena contains 475g wheat
261,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Indian mealmoth,Plodia interpunctella,Egg,2.0,Mean,N,24,30.0,,1,,9.46E+02,4.96E-01,Alternate species length,3,6.01E-04,Alternate species length,2,m^3 per pred per day,261,200,0.01,207.61,2.47E-03,1.59E-03,5.08E-03,6.10E-02,5.86E-02,6.35E-02,Arena contains 475g wheat
262,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Indian mealmoth,Plodia interpunctella,1st/2nd instar,2.0,Mean,N,24,30.0,,1,,9.46E+02,2.11E-01,Alternate species length,2,1.36E-01,Original length,1,m^3 per pred per day,262,200,0.70,8.78,5.97E-04,5.03E-04,7.37E-04,9.27E-02,7.20E-02,1.10E-01,Arena contains 475g wheat
263,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Lepidoptera,Indian mealmoth,Plodia interpunctella,1st/2nd instar,2.0,Mean,N,24,30.0,,1,,9.46E+02,4.96E-01,Alternate species length,3,1.36E-01,Original length,1,m^3 per pred per day,263,200,0.68,22.37,7.02E-04,6.03E-04,8.28E-04,8.80E-02,7.24E-02,1.04E-01,Arena contains 475g wheat
264,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,Egg,2.0,Mean,N,24,30.0,,1,2.29E+01,,2.11E-01,Alternate species length,2,3.77E-02,Alternate species length,1,m^2 per pred per day,264,200,0.70,151.94,3.12E-03,2.60E-03,3.69E-03,3.95E-02,3.63E-02,4.23E-02,Arena contains 0.1g flour
265,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,Egg,2.0,Mean,N,24,30.0,,1,2.29E+01,,4.96E-01,Alternate species length,3,3.77E-02,Alternate species length,1,m^2 per pred per day,265,200,0.79,141.30,3.41E-03,2.94E-03,3.94E-03,3.40E-02,3.18E-02,3.63E-02,Arena contains 0.1g flour
266,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,1st/2nd instar (in wheat kernel),2.0,Mean,N,24,30.0,,1,2.29E+01,,2.11E-01,Alternate species length,2,1.14E-01,Alternate species length,2,m^2 per pred per day,266,200,0.76,48.97,2.69E-03,2.21E-03,3.20E-03,5.59E-02,4.57E-02,6.40E-02,Arena contains 0.1g flour
267,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,1st/2nd instar (in wheat kernel),2.0,Mean,N,24,30.0,,1,2.29E+01,,4.96E-01,Alternate species length,3,1.14E-01,Alternate species length,2,m^2 per pred per day,267,200,0.77,112.86,2.31E-03,1.94E-03,2.65E-03,2.36E-02,1.51E-02,3.05E-02,Arena contains 0.1g flour
268,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,Egg,2.0,Mean,N,24,30.0,,1,,9.46E+02,2.11E-01,Alternate species length,2,3.77E-02,Alternate species length,1,m^3 per pred per day,268,200,0.70,38.61,6.89E-04,5.69E-04,8.23E-04,9.62E-02,8.99E-02,1.02E-01,Arena contains 475g wheat
269,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,Egg,2.0,Mean,N,24,30.0,,1,,9.46E+02,4.96E-01,Alternate species length,3,3.77E-02,Alternate species length,1,m^3 per pred per day,269,200,0.71,59.86,6.68E-04,5.29E-04,8.14E-04,8.28E-02,7.66E-02,8.81E-02,Arena contains 475g wheat
270,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,1st/2nd instar (in wheat kernel),2.0,Mean,N,24,30.0,,1,,9.46E+02,2.11E-01,Alternate species length,2,1.14E-01,Alternate species length,2,m^3 per pred per day,270,200,0.60,26.87,3.87E-04,3.04E-04,4.99E-04,8.80E-02,5.86E-02,1.22E-01,Arena contains 475g wheat
271,Donnelly and Phillips 2001 ENVIRON ENTOMOL,Predator,3.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Lesser grain borer,Rhyzopertha dominica,1st/2nd instar (in wheat kernel),2.0,Mean,N,24,30.0,,1,,9.46E+02,4.96E-01,Alternate species length,3,1.14E-01,Alternate species length,2,m^3 per pred per day,271,200,0.68,23.55,3.59E-04,2.79E-04,4.63E-04,6.33E-02,3.09E-02,9.37E-02,Arena contains 475g wheat
272,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,6,25.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,272,200,0.92,34.03,6.86E-04,6.09E-04,7.75E-04,5.49E-02,5.17E-02,5.81E-02,Maehyang strawberry leaf disc
273,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,6,25.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,273,200,0.92,31.67,7.16E-04,6.41E-04,8.08E-04,5.45E-02,5.18E-02,5.79E-02,Sulhyang strawberry leaf disc
274,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2.0,Mean,N,6,25.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,274,200,0.77,76.56,7.36E-04,5.98E-04,9.16E-04,6.07E-02,5.25E-02,6.82E-02,Maehyang strawberry leaf disc
275,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2.0,Mean,N,6,25.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,275,200,0.77,74.32,6.96E-04,5.46E-04,8.57E-04,6.35E-02,5.63E-02,7.07E-02,Sulhyang strawberry leaf disc
276,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2.0,Mean,N,6,25.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,276,200,0.86,19.09,7.55E-04,6.19E-04,9.27E-04,8.22E-02,6.84E-02,9.47E-02,Maehyang strawberry leaf disc
277,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2.0,Mean,N,6,25.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,,,,m^2 per pred per day,277,200,0.85,33.25,6.45E-04,5.22E-04,8.58E-04,7.29E-02,6.01E-02,8.59E-02,Sulhyang strawberry leaf disc
278,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,6,15.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,278,200,0.36,50.70,5.33E-04,3.33E-04,9.24E-04,1.77E-01,1.56E-01,2.01E-01,
279,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,6,20.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,279,200,0.77,62.25,6.88E-04,5.95E-04,7.91E-04,7.96E-02,7.40E-02,8.62E-02,
280,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,6,25.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,280,200,0.89,24.69,8.20E-04,6.94E-04,9.72E-04,6.68E-02,6.42E-02,7.00E-02,
281,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,6,30.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,281,200,0.86,79.50,7.20E-04,5.86E-04,8.78E-04,5.11E-02,4.69E-02,5.42E-02,
282,Ahn et al 2010 J APPL ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Neoseiulus californicus,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,6,35.0,,1,7.07E+00,,6.13E-02,Alternate order mass,1,2.11E-03,Alternate species length,2,m^2 per pred per day,282,200,0.90,118.65,1.06E-03,9.73E-04,1.16E-03,3.36E-02,3.20E-02,3.59E-02,
283,Heidarian et al 2012 J ASIA-PAC ENTOMOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Thysanoptera,Scolothrips longicornis,Adult female (2d old),3.0,Metazoan,Invertebrate,Insect,Tetranychidae,,Schizotetranychus smirnovi,Protonymph,2.0,Raw data,N,24,25.0,,1,3.85E+01,5.77E+01,4.25E-02,Alternate species length,2,,,,m^2.5 per pred per day,283,200,0.93,263.81,3.29E-03,2.85E-03,3.86E-03,1.65E-03,1.30E-03,2.02E-03,
284,McCoull et al 1998 AUS J ENTOMOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Naucoris congrex ,,,Metazoan,Invertebrate,Insect,Culicidae,Mosquito,Culicidae,4th instar,,Raw data,Y,48,5.0,,1,,4.00E+02,1.60E+01,Alternate genus length,1,1.79E+01,Alternate family length,1,m^3 per pred per day,284,200,0.25,32.91,1.86E-04,4.42E-05,6.55E-04,2.03E-01,6.62E-02,3.75E-01,
285,McCoull et al 1998 AUS J ENTOMOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Naucoris congrex ,,,Metazoan,Invertebrate,Insect,Culicidae,Mosquito,Culicidae,4th instar,,Raw data,Y,48,10.0,,1,,4.00E+02,1.60E+01,Alternate genus length,1,1.79E+01,Alternate family length,1,m^3 per pred per day,285,200,0.40,56.78,5.06E-04,1.59E-04,1.54E-03,1.01E-01,5.42E-02,1.47E-01,
286,McCoull et al 1998 AUS J ENTOMOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Naucoris congrex ,,,Metazoan,Invertebrate,Insect,Culicidae,Mosquito,Culicidae,4th instar,,Raw data,Y,48,15.0,,1,,4.00E+02,1.60E+01,Alternate genus length,1,1.79E+01,Alternate family length,1,m^3 per pred per day,286,200,0.53,76.14,1.05E-03,6.45E-04,1.66E-03,6.60E-02,5.52E-02,7.97E-02,
287,McCoull et al 1998 AUS J ENTOMOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Naucoris congrex ,,,Metazoan,Invertebrate,Insect,Culicidae,Mosquito,Culicidae,4th instar,,Raw data,Y,48,20.0,,1,,4.00E+02,1.60E+01,Alternate genus length,1,1.79E+01,Alternate family length,1,m^3 per pred per day,287,200,0.60,93.76,7.46E-04,3.72E-04,1.17E-03,3.39E-02,2.05E-02,4.70E-02,
288,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Acanthoscelides obtectus,Egg (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,4.96E-01,Alternate species length,3,,,,m^2 per pred per day,288,200,0.73,369.85,7.00E-03,5.61E-03,8.70E-03,2.22E-02,1.63E-02,2.69E-02,
289,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Acanthoscelides obtectus,Egg (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,2.11E-01,Alternate species length,2,,,,m^2 per pred per day,289,200,0.38,331.37,9.03E-03,6.09E-03,1.20E-02,7.58E-02,5.46E-02,1.02E-01,
290,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Acanthoscelides obtectus,Larva (newly hatched),2.0,Mean,N,,29.0,,1,6.36E+01,,4.96E-01,Alternate species length,3,,,,m^2 per pred per day,290,200,0.75,478.00,7.16E-03,5.87E-03,8.30E-03,7.70E-03,1.41E-04,1.37E-02,
291,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Acanthoscelides obtectus,Larva (newly hatched),2.0,Mean,N,,29.0,,1,6.36E+01,,2.11E-01,Alternate species length,2,,,,m^2 per pred per day,291,200,0.91,330.17,7.17E-03,6.70E-03,7.72E-03,8.00E-03,3.85E-03,1.19E-02,
292,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Acanthoscelides obtectus,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,4.96E-01,Alternate species length,3,4.31E+00,Average species mass,3,m^2 per pred per day,292,200,0.03,-52.52,5.93E-03,1.84E-03,1.25E-01,9.37E-01,4.77E-01,1.30E+00,
293,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Acanthoscelides obtectus,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,2.11E-01,Alternate species length,2,4.31E+00,Average species mass,3,m^2 per pred per day,293,200,0.02,-144.87,4.65E-03,1.45E-03,4.55E-02,1.84E+00,1.28E+00,2.45E+00,
294,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Callosobruchu analis,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,4.96E-01,Alternate species length,3,2.34E+00,Alternate species length,1,m^2 per pred per day,294,200,0.20,-17.37,5.14E-03,3.36E-03,9.95E-03,3.04E-01,1.76E-01,4.52E-01,
295,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Bean weevil,Callosobruchu analis,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,2.11E-01,Alternate species length,2,2.34E+00,Alternate species length,1,m^2 per pred per day,295,200,0.06,-26.82,4.27E-03,1.32E-03,6.41E-02,6.07E-01,4.61E-07,9.34E-01,
296,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Adzuki bean weevil,Callosobruchus chinensis,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,4.96E-01,Alternate species length,3,2.86E+00,Alternate species length,1,m^2 per pred per day,296,200,0.15,-25.36,4.32E-03,2.56E-03,7.96E-03,3.71E-01,1.80E-01,5.35E-01,
297,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Adzuki bean weevil,Callosobruchus chinensis,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,2.11E-01,Alternate species length,2,2.86E+00,Alternate species length,1,m^2 per pred per day,297,200,0.02,-70.76,5.04E-03,2.13E-03,6.30E-02,1.28E+00,8.25E-01,1.74E+00,
298,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Cowpea weevil,Callosobruchus maculatus,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,4.96E-01,Alternate species length,3,2.86E+00,Alternate species length,1,m^2 per pred per day,298,200,0.24,-36.71,1.37E-03,1.08E-03,2.62E-03,2.08E-07,1.83E-08,5.71E-01,
299,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Cowpea weevil,Callosobruchus maculatus,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,2.11E-01,Alternate species length,2,2.86E+00,Alternate species length,1,m^2 per pred per day,299,200,0.04,-76.25,2.87E-03,7.53E-04,5.51E-02,9.18E-01,7.95E-08,1.51E+00,
300,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult female,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Mexican bean weevil,Zabrotes subfasciatus,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,4.96E-01,Alternate species length,3,1.97E+00,Alternate species length,1,m^2 per pred per day,300,200,0.00,417.55,2.00E-01,1.72E-01,2.36E-01,1.04E-01,1.01E-01,1.07E-01,
301,Sing & Arbogast 2008 ENT EXP APPL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Xylocoris flavipes,Adult male,3.0,Metazoan,Invertebrate,Insect,Coleoptera,Mexican bean weevil,Zabrotes subfasciatus,Adult (0-24h old),2.0,Mean,N,,29.0,,1,6.36E+01,,2.11E-01,Alternate species length,2,1.97E+00,Alternate species length,1,m^2 per pred per day,301,200,0.05,-96.58,2.23E-03,7.17E-04,1.97E-02,1.03E+00,7.46E-02,1.75E+00,
302,Hohberg & Traunspurger 2005 BIOL FERTIL SOILS,Predator,2.50,,Aquatic,Fresh,Metazoan,Invertebrate,Tardigrade,,Macrobiotus richtersi,Adult,3.0,Metazoan,Invertebrate,Nematode,,Nematode,Pelodera teres,Small,2.0,Raw data,N,72,20.0,,1,7.90E-01,7.90E-02,1.07E-02,Original mass,1,2.20E-05,Original mass,1,m^2.5 per pred per day,302,200,0.52,699.10,1.52E-05,1.16E-05,2.05E-05,1.81E-03,1.46E-03,2.18E-03,
303,Hohberg & Traunspurger 2005 BIOL FERTIL SOILS,Predator,2.50,,Aquatic,Fresh,Metazoan,Invertebrate,Tardigrade,,Macrobiotus richtersi,Adult,3.0,Metazoan,Invertebrate,Nematode,,Nematode,Acrobeloides nanus,Small,2.0,Raw data,N,72,20.0,,1,7.90E-01,7.90E-02,1.07E-02,Original mass,1,2.80E-05,Original mass,2,m^2.5 per pred per day,303,200,0.32,710.86,1.80E-05,1.30E-05,2.80E-05,2.46E-03,2.03E-03,2.96E-03,
304,Hohberg & Traunspurger 2005 BIOL FERTIL SOILS,Predator,2.50,,Aquatic,Fresh,Metazoan,Invertebrate,Tardigrade,,Macrobiotus richtersi,Adult,3.0,Metazoan,Invertebrate,Nematode,,Nematode,Pelodera teres,Large,2.0,Raw data,N,72,20.0,,1,7.90E-01,7.90E-02,1.07E-02,Original mass,1,6.30E-05,Original mass,2,m^2.5 per pred per day,304,200,0.34,560.19,1.16E-05,7.74E-06,1.75E-05,4.49E-03,3.58E-03,5.34E-03,
305,Hohberg & Traunspurger 2005 BIOL FERTIL SOILS,Predator,2.50,,Aquatic,Fresh,Metazoan,Invertebrate,Tardigrade,,Macrobiotus richtersi,Adult,3.0,Metazoan,Invertebrate,Nematode,,Nematode,Acrobeloides nanus,Large,2.0,Raw data,N,72,20.0,,1,7.90E-01,7.90E-02,1.07E-02,Original mass,1,8.00E-05,Original mass,1,m^2.5 per pred per day,305,200,0.44,639.72,8.13E-06,5.01E-06,1.34E-05,3.20E-03,2.06E-03,4.10E-03,
306,Hohberg & Traunspurger 2005 BIOL FERTIL SOILS,Predator,2.50,,Aquatic,Fresh,Metazoan,Invertebrate,Tardigrade,,Macrobiotus richtersi,Juvenile,3.0,Metazoan,Invertebrate,Nematode,,Nematode,Pelodera teres,Small,2.0,Raw data,N,72,20.0,,1,7.90E-01,7.90E-02,1.90E-03,Original mass,2,2.20E-05,Original mass,1,m^2.5 per pred per day,306,200,0.24,479.81,1.28E-05,8.83E-06,2.51E-05,5.55E-03,4.43E-03,7.18E-03,
307,Gitonga et al 2002 BIO CONTROL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult (24-48h old),3.0,Metazoan,Invertebrate,Insect,Thysanoptera,,Megalurothrips sjostedti,2nd instar,2.0,Mean,N,24,15.0,,1,?,3.00E+01,3.66E-01,Average genus mass,4,6.15E-03,% adult mass,2,m^2.5 per pred per day,307,200,0.89,6.70,1.65E-04,1.26E-04,2.07E-04,3.28E-02,1.13E-02,4.94E-02,
308,Gitonga et al 2002 BIO CONTROL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult (24-48h old),3.0,Metazoan,Invertebrate,Insect,Thysanoptera,,Megalurothrips sjostedti,2nd instar,2.0,Mean,N,24,25.0,,1,?,3.00E+01,3.66E-01,Average genus mass,4,6.15E-03,% adult mass,2,m^2.5 per pred per day,308,200,0.90,16.01,2.18E-04,1.83E-04,2.54E-04,1.61E-02,6.73E-03,2.73E-02,
309,Gitonga et al 2002 BIO CONTROL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult (24-48h old),3.0,Metazoan,Invertebrate,Insect,Thysanoptera,,Megalurothrips sjostedti,2nd instar,2.0,Mean,N,24,28.0,,1,?,3.00E+01,3.66E-01,Average genus mass,4,6.15E-03,% adult mass,2,m^2.5 per pred per day,309,200,0.95,7.53,2.35E-04,1.98E-04,2.64E-04,1.22E-02,4.29E-03,1.78E-02,
310,Gitonga et al 2002 BIO CONTROL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult (24-48h old),3.0,Metazoan,Invertebrate,Insect,Thysanoptera,,Megalurothrips sjostedti,Adult,2.0,Mean,N,24,15.0,,1,?,3.00E+01,3.66E-01,Average genus mass,4,7.49E-02,Alternate order length,1,m^2.5 per pred per day,310,200,0.80,-10.31,5.65E-05,4.14E-05,8.25E-05,8.36E-02,1.53E-03,1.85E-01,
