Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Mass code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
12,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,12,200,0.80,43.38,2.50E-03,2.15E-03,2.86E-03,2.27E-02,7.66E-03,3.61E-02,24 hr trial
13,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,13,200,0.75,45.44,2.82E-03,2.27E-03,3.67E-03,3.84E-02,1.72E-02,5.83E-02,24 hr trial
14,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,14,200,0.62,44.49,3.26E-03,2.50E-03,4.35E-03,7.34E-02,4.91E-02,9.75E-02,24 hr trial
15,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,15,200,0.36,-18.14,9.87E-04,6.32E-04,1.65E-03,1.73E-01,3.98E-02,2.99E-01,24 hr trial
16,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,2.11E-03,Alternate species length,2,m^2 per pred per day,16,200,0.70,-30.21,2.18E-03,1.82E-03,2.68E-03,1.16E-01,8.59E-02,1.45E-01,48 hr trial
17,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Larva,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,17,200,0.76,-35.83,1.18E-03,9.73E-04,1.46E-03,5.38E-02,1.55E-03,9.96E-02,48 hr trial
18,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Nymph,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,,,,m^2 per pred per day,18,200,0.72,-77.72,1.19E-03,9.82E-04,1.45E-03,1.46E-01,9.10E-02,1.98E-01,48 hr trial
19,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult male,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,6.66E-02,Alternate species length,1,m^2 per pred per day,19,200,0.77,-122.76,7.77E-04,6.48E-04,9.57E-04,1.63E-01,9.11E-02,2.29E-01,48 hr trial
20,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2.0,Mean,N,,,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,20,200,0.47,-165.57,3.00E-04,2.00E-04,4.59E-04,4.65E-01,1.30E-06,8.35E-01,48 hr trial
21,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2.0,Mean,N,,20.0,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,21,200,0.40,-6.93,1.08E-03,7.37E-04,1.65E-03,1.40E-01,1.47E-07,2.55E-01,
